,date,time,comp,round,day,venue,result,gf,ga,opponent,xg,xga,poss,attendance,captain,formation,referee,match report,notes,sh,sot,crdy,fls,fld,crs,int,tklw,team
4,2023-09-07,20:45,UEFA Euro Qualifying,Group stage,Thu,Home,W,4.0,2.0,nir Northern Ireland,,,48.0,12587.0,Jan Oblak,4-4-2,Marco Guida,Match Report,,8.0,4.0,1.0,12.0,9.0,6.0,8.0,8.0,slovenia
5,2023-09-10,20:45,UEFA Euro Qualifying,Group stage,Sun,Away,W,4.0,0.0,sm San Marino,,,81.0,844.0,Jan Oblak,4-4-2,Mykola Balakin,Match Report,,19.0,8.0,1.0,18.0,9.0,25.0,6.0,5.0,slovenia
6,2023-10-14,18:00,UEFA Euro Qualifying,Group stage,Sat,Home,W,3.0,0.0,fi Finland,,,43.0,15823.0,Jan Oblak,4-4-2,Daniele Orsato,Match Report,,12.0,5.0,1.0,8.0,14.0,12.0,12.0,7.0,slovenia
7,2023-10-17,19:45,UEFA Euro Qualifying,Group stage,Tue,Away,W,1.0,0.0,nir Northern Ireland,,,58.0,16332.0,Jan Oblak,4-4-2,István Kovács,Match Report,,8.0,4.0,2.0,11.0,12.0,4.0,2.0,10.0,slovenia
8,2023-11-17,20:45,UEFA Euro Qualifying,Group stage,Fri,Away,L,1.0,2.0,dk Denmark,,,34.0,35608.0,Jan Oblak,4-4-2,Sánchez Santos,Match Report,,2.0,1.0,1.0,13.0,12.0,6.0,15.0,11.0,slovenia
9,2023-11-20,20:45,UEFA Euro Qualifying,Group stage,Mon,Home,W,2.0,1.0,kz Kazakhstan,,,59.0,16432.0,Jan Oblak,4-4-2,Szymon Marciniak,Match Report,,13.0,6.0,1.0,11.0,17.0,16.0,12.0,19.0,slovenia
10,2024-03-21,19:00,Friendlies (M),Friendlies (M),Thu,Away,D,2.0,2.0,mt Malta,,,,1652.0,Jan Oblak,4-2-2-2,Sandi Putros,Match Report,,,,1.0,,,,,,slovenia
11,2024-03-26,20:45,Friendlies (M),Friendlies (M),Tue,Home,W,2.0,0.0,pt Portugal,,,,16432.0,Jan Oblak,4-2-2-2,Irfan Peljto,Match Report,,,,2.0,,,,,,slovenia
12,2024-06-04,18:00,Friendlies (M),Friendlies (M),Tue,Home,W,2.0,1.0,am Armenia,,,,8389.0,Jaka Bijol,4-2-2-2,Andreas Argyrou,Match Report,,,,1.0,,,,,,slovenia
13,2024-06-08,15:00,Friendlies (M),Friendlies (M),Sat,Home,D,1.0,1.0,bg Bulgaria,,,,11037.0,Jan Oblak,4-2-2-2,Arda Kardeşler,Match Report,,,,0.0,,,,,,slovenia
14,2024-06-16,18:00,UEFA Euro,Group stage,Sun,Home,D,1.0,1.0,dk Denmark,1.1,1.7,33.0,54000.0,Jan Oblak,4-4-2,Sandro Schärer,Match Report,,11.0,2.0,2.0,12.0,9.0,14.0,13.0,7.0,slovenia
15,2024-06-20,15:00,UEFA Euro,Group stage,Thu,Home,,,,rs Serbia,,,,,,,,Head-to-Head,,,,,,,,,,slovenia
16,2024-06-25,21:00,UEFA Euro,Group stage,Tue,Away,,,,eng England,,,,,,,,Head-to-Head,,,,,,,,,,slovenia
0,2023-03-23,20:45,UEFA Euro Qualifying,Group stage,Thu,Away,L,1,3,dk Denmark,,,42.0,35851.0,Lukáš Hrádecký,4-4-2,Daniel Siebert,Match Report,,8.0,2.0,2.0,8.0,9.0,11.0,5.0,6.0,finland
1,2023-03-26,19:45,UEFA Euro Qualifying,Group stage,Sun,Away,W,1,0,nir Northern Ireland,,,57.0,17936.0,Lukáš Hrádecký,4-4-2,Ivan Kružliak,Match Report,,8.0,2.0,2.0,16.0,16.0,11.0,8.0,13.0,finland
2,2023-06-16,19:00,UEFA Euro Qualifying,Group stage,Fri,Home,W,2,0,si Slovenia,,,42.0,32560.0,Lukáš Hrádecký,5-4-1,Guillermo Cuadra,Match Report,,9.0,3.0,1.0,11.0,7.0,12.0,9.0,15.0,finland
3,2023-06-19,19:00,UEFA Euro Qualifying,Group stage,Mon,Home,W,6,0,sm San Marino,,,80.0,32812.0,Lukáš Hrádecký,4-3-3,Genc Nuza,Match Report,,26.0,11.0,0.0,8.0,7.0,18.0,3.0,7.0,finland
4,2023-09-07,20:00,UEFA Euro Qualifying,Group stage,Thu,Away,W,1,0,kz Kazakhstan,,,58.0,30019.0,Lukáš Hrádecký,3-4-3,Radu Petrescu,Match Report,,8.0,4.0,0.0,11.0,15.0,18.0,4.0,6.0,finland
5,2023-09-10,19:00,UEFA Euro Qualifying,Group stage,Sun,Home,L,0,1,dk Denmark,,,36.0,32571.0,Lukáš Hrádecký,5-4-1,Szymon Marciniak,Match Report,,4.0,0.0,3.0,10.0,5.0,4.0,3.0,11.0,finland
6,2023-10-14,18:00,UEFA Euro Qualifying,Group stage,Sat,Away,L,0,3,si Slovenia,,,58.0,15823.0,Lukáš Hrádecký,3-4-3,Daniele Orsato,Match Report,,8.0,3.0,1.0,14.0,7.0,9.0,2.0,11.0,finland
7,2023-10-17,19:00,UEFA Euro Qualifying,Group stage,Tue,Home,L,1,2,kz Kazakhstan,,,59.0,30375.0,Lukáš Hrádecký,3-4-3,Irfan Peljto,Match Report,,15.0,4.0,1.0,11.0,11.0,16.0,6.0,7.0,finland
8,2023-11-17,19:00,UEFA Euro Qualifying,Group stage,Fri,Home,W,4,0,nir Northern Ireland,,,61.0,28711.0,Lukáš Hrádecký,4-4-2,Əliyar Ağayev,Match Report,,11.0,5.0,0.0,14.0,9.0,7.0,6.0,5.0,finland
9,2023-11-20,20:45,UEFA Euro Qualifying,Group stage,Mon,Away,W,2,1,sm San Marino,,,80.0,1427.0,Teemu Pukki,4-3-3,Manfredas Lukjančukas,Match Report,,14.0,5.0,2.0,12.0,17.0,16.0,6.0,6.0,finland
10,2024-03-21,19:45,UEFA Euro Qualifying,Semi-finals,Thu,Away,L,1,4,wls Wales,,,59.0,,Lukáš Hrádecký,4-4-2,István Kovács,Match Report,,9.0,2.0,3.0,12.0,14.0,9.0,8.0,8.0,finland
11,2024-03-26,19:00,Friendlies (M),Friendlies (M),Tue,Home,W,2,1,ee Estonia,,,,12559.0,Robin Lod,4-1-4-1,Mads-Kristoffer Kristoffersen,Match Report,,,,1.0,,,,,,finland
12,2024-06-04,19:45,Friendlies (M),Friendlies (M),Tue,Away,L,2,4,pt Portugal,,,,19834.0,Lukáš Hrádecký,4-1-4-1,Christian-Petru Ciochirca,Match Report,,,,0.0,,,,,,finland
13,2024-06-07,19:45,Friendlies (M),Friendlies (M),Fri,Away,D,2,2,sct Scotland,,,,40159.0,Teemu Pukki,4-2-2-2,Łukasz Kuźma,Match Report,,,,1.0,,,,,,finland
0,2023-03-23,21:00,UEFA Euro Qualifying,Group stage,Thu,Home,L,1,2,si Slovenia,,,40.0,27122.0,Askhat Tagybergen,5-4-1,Glenn Nyberg,Match Report,,5.0,2.0,2.0,17.0,11.0,15.0,7.0,10.0,kazakhstan
1,2023-03-26,19:00,UEFA Euro Qualifying,Group stage,Sun,Home,W,3,2,dk Denmark,,,39.0,28697.0,Askhat Tagybergen,5-3-2,Novak Simović,Match Report,,14.0,8.0,3.0,16.0,5.0,14.0,9.0,14.0,kazakhstan
2,2023-06-16,20:45,UEFA Euro Qualifying,Group stage,Fri,Away,W,3,0,sm San Marino,,,67.0,528.0,Askhat Tagybergen,5-3-2,Anastasios Papapetrou,Match Report,,16.0,7.0,2.0,14.0,9.0,26.0,4.0,7.0,kazakhstan
3,2023-06-19,19:45,UEFA Euro Qualifying,Group stage,Mon,Away,W,1,0,nir Northern Ireland,,,41.0,18002.0,Askhat Tagybergen,3-5-2,Roi Reinshreiber,Match Report,,7.0,2.0,2.0,8.0,6.0,9.0,15.0,10.0,kazakhstan
4,2023-09-07,20:00,UEFA Euro Qualifying,Group stage,Thu,Home,L,0,1,fi Finland,,,43.0,30019.0,Askhat Tagybergen,3-4-3,Radu Petrescu,Match Report,,5.0,3.0,2.0,16.0,10.0,13.0,19.0,13.0,kazakhstan
5,2023-09-10,19:00,UEFA Euro Qualifying,Group stage,Sun,Home,W,1,0,nir Northern Ireland,,,45.0,28458.0,Askhat Tagybergen,5-4-1,Daniel Schlager,Match Report,,8.0,4.0,6.0,20.0,11.0,15.0,17.0,13.0,kazakhstan
6,2023-10-14,20:45,UEFA Euro Qualifying,Group stage,Sat,Away,L,1,3,dk Denmark,,,37.0,35845.0,Abzal Beisebekov,3-4-3,Michael Oliver,Match Report,,6.0,1.0,1.0,11.0,5.0,8.0,7.0,7.0,kazakhstan
7,2023-10-17,19:00,UEFA Euro Qualifying,Group stage,Tue,Away,W,2,1,fi Finland,,,41.0,30375.0,Askhat Tagybergen,3-5-2,Irfan Peljto,Match Report,,8.0,4.0,6.0,12.0,9.0,13.0,18.0,12.0,kazakhstan
8,2023-11-17,21:00,UEFA Euro Qualifying,Group stage,Fri,Home,W,3,1,sm San Marino,,,66.0,30100.0,Abzal Beisebekov,5-4-1,Harald Lechner,Match Report,,11.0,7.0,2.0,13.0,16.0,20.0,6.0,17.0,kazakhstan
9,2023-11-20,20:45,UEFA Euro Qualifying,Group stage,Mon,Away,L,1,2,si Slovenia,,,41.0,16432.0,Abzal Beisebekov,5-4-1,Szymon Marciniak,Match Report,,8.0,3.0,4.0,17.0,9.0,13.0,18.0,8.0,kazakhstan
10,2024-03-21,21:45,UEFA Euro Qualifying,Semi-finals,Thu,Away,L,0,5,gr Greece,,,36.0,,Abzal Beisebekov,5-4-1,Danny Makkelie,Match Report,,14.0,2.0,4.0,13.0,10.0,13.0,6.0,14.0,kazakhstan
11,2024-03-26,20:45,Friendlies (M),Friendlies (M),Tue,Away,L,1,2,lu Luxembourg,,,,8720.0,Askhat Tagybergen,5-4-1,Christian Dingert,Match Report,,,,4.0,,,,,,kazakhstan
12,2024-06-07,20:00,Friendlies (M),Friendlies (M),Fri,Away,L,1,2,am Armenia,,,,,Askhat Tagybergen,5-3-2,Goga Kikacheishvili,Match Report,,,,0.0,,,,,,kazakhstan
13,2024-06-11,16:00,Friendlies (M),Friendlies (M),Tue,Neutral,L,2,3,az Azerbaijan,,,,,Askhat Tagybergen,5-3-2,Bence Csonka,Match Report,,,,2.0,,,,,,kazakhstan
0,2023-03-23,20:45,UEFA Euro Qualifying,Group stage,Thu,Away,W,2,0,sm San Marino,,,72.0,2099.0,Craig Cathcart,3-5-2,Gergő Bogár,Match Report,,14.0,4.0,1.0,9.0,16.0,28.0,7.0,12.0,northern ireland
1,2023-03-26,19:45,UEFA Euro Qualifying,Group stage,Sun,Home,L,0,1,fi Finland,,,43.0,17936.0,Craig Cathcart,3-5-2,Ivan Kružliak,Match Report,,8.0,1.0,1.0,17.0,15.0,25.0,10.0,9.0,northern ireland
2,2023-06-16,20:45,UEFA Euro Qualifying,Group stage,Fri,Away,L,0,1,dk Denmark,,,32.0,35701.0,Jonny Evans,3-5-1-1,Daniel Stefański,Match Report,,6.0,4.0,5.0,16.0,9.0,5.0,11.0,12.0,northern ireland
3,2023-06-19,19:45,UEFA Euro Qualifying,Group stage,Mon,Home,L,0,1,kz Kazakhstan,,,59.0,18002.0,Jonny Evans,3-5-2,Roi Reinshreiber,Match Report,,12.0,1.0,1.0,6.0,8.0,35.0,8.0,16.0,northern ireland
4,2023-09-07,20:45,UEFA Euro Qualifying,Group stage,Thu,Away,L,2,4,si Slovenia,,,52.0,12587.0,Jonny Evans,4-1-4-1,Marco Guida,Match Report,,13.0,7.0,3.0,9.0,11.0,23.0,11.0,9.0,northern ireland
5,2023-09-10,19:00,UEFA Euro Qualifying,Group stage,Sun,Away,L,0,1,kz Kazakhstan,,,55.0,28458.0,Alistair McCann,4-1-4-1,Daniel Schlager,Match Report,,17.0,4.0,4.0,13.0,18.0,25.0,8.0,5.0,northern ireland
6,2023-10-14,14:00,UEFA Euro Qualifying,Group stage,Sat,Home,W,3,0,sm San Marino,,,76.0,17886.0,Jonny Evans,4-3-3,Bram Van Driessche,Match Report,,18.0,7.0,3.0,9.0,10.0,24.0,3.0,4.0,northern ireland
7,2023-10-17,19:45,UEFA Euro Qualifying,Group stage,Tue,Home,L,0,1,si Slovenia,,,42.0,16332.0,Jonny Evans,4-1-4-1,István Kovács,Match Report,,6.0,2.0,5.0,12.0,11.0,16.0,5.0,7.0,northern ireland
8,2023-11-17,19:00,UEFA Euro Qualifying,Group stage,Fri,Away,L,0,4,fi Finland,,,39.0,28711.0,George Saville,3-4-3,Əliyar Ağayev,Match Report,,8.0,3.0,0.0,9.0,14.0,15.0,8.0,5.0,northern ireland
9,2023-11-20,19:45,UEFA Euro Qualifying,Group stage,Mon,Home,W,2,0,dk Denmark,,,21.0,17366.0,Paddy McNair,5-4-1,Jérôme Brisard,Match Report,,7.0,2.0,2.0,6.0,8.0,8.0,9.0,7.0,northern ireland
10,2024-03-22,21:45,Friendlies (M),Friendlies (M),Fri,Away,D,1,1,ro Romania,,,,30439.0,Paddy McNair,5-4-1,Kristoffer Karlsson,Match Report,,,,3.0,,,,,,northern ireland
11,2024-03-26,19:45,Friendlies (M),Friendlies (M),Tue,Away,W,1,0,sct Scotland,,,,,Paddy McNair,5-4-1,Robert Jones,Match Report,,,,1.0,,,,,,northern ireland
12,2024-06-08,21:30,Friendlies (M),Friendlies (M),Sat,Away,L,1,5,es Spain,,,,19200.0,Jonny Evans,5-4-1,Bastien Dechepy,Match Report,,,,1.0,,,,,,northern ireland
13,2024-06-11,20:45,Friendlies (M),Friendlies (M),Tue,Neutral,W,2,0,ad Andorra,,,,,Daniel Ballard,3-5-2,Jason Barcelo,Match Report,,,,2.0,,,,,,northern ireland
0,2023-03-23,20:45,UEFA Euro Qualifying,Group stage,Thu,Home,L,0.0,2.0,nir Northern Ireland,,,28.0,2099.0,Mirko Palazzi,5-3-2,Gergő Bogár,Match Report,,3.0,1.0,0.0,16.0,9.0,4.0,12.0,15.0,san marino
1,2023-03-26,18:00,UEFA Euro Qualifying,Group stage,Sun,Away,L,0.0,2.0,si Slovenia,,,24.0,10282.0,Nicola Nanni,3-5-2,Nathan Verboomen,Match Report,,1.0,0.0,3.0,8.0,11.0,3.0,5.0,16.0,san marino
2,2023-06-16,20:45,UEFA Euro Qualifying,Group stage,Fri,Home,L,0.0,3.0,kz Kazakhstan,,,33.0,528.0,Manuel Battistini,3-5-2,Anastasios Papapetrou,Match Report,,7.0,2.0,2.0,11.0,13.0,10.0,7.0,11.0,san marino
3,2023-06-19,19:00,UEFA Euro Qualifying,Group stage,Mon,Away,L,0.0,6.0,fi Finland,,,21.0,32812.0,Alessandro Golinucci,3-5-2,Genc Nuza,Match Report,,4.0,1.0,1.0,7.0,8.0,2.0,8.0,14.0,san marino
4,2023-09-07,20:45,UEFA Euro Qualifying,Group stage,Thu,Away,L,0.0,4.0,dk Denmark,,,15.0,36262.0,Alessandro Golinucci,3-5-2,Vitālijs Spasjoņņikovs,Match Report,,1.0,0.0,0.0,8.0,7.0,3.0,10.0,13.0,san marino
5,2023-09-10,20:45,UEFA Euro Qualifying,Group stage,Sun,Home,L,0.0,4.0,si Slovenia,,,19.0,844.0,Matteo Vitaioli,3-5-2,Mykola Balakin,Match Report,,2.0,1.0,3.0,9.0,18.0,1.0,5.0,8.0,san marino
6,2023-10-14,14:00,UEFA Euro Qualifying,Group stage,Sat,Away,L,0.0,3.0,nir Northern Ireland,,,24.0,17886.0,Matteo Vitaioli,5-3-2,Bram Van Driessche,Match Report,,2.0,0.0,0.0,10.0,8.0,6.0,5.0,9.0,san marino
7,2023-10-17,20:45,UEFA Euro Qualifying,Group stage,Tue,Home,L,1.0,2.0,dk Denmark,,,18.0,2984.0,Alessandro Golinucci,3-5-2,Viktor Kopievskii,Match Report,,5.0,2.0,4.0,14.0,8.0,7.0,16.0,19.0,san marino
8,2023-11-17,21:00,UEFA Euro Qualifying,Group stage,Fri,Away,L,1.0,3.0,kz Kazakhstan,,,34.0,30100.0,Alessandro Golinucci,5-4-1,Harald Lechner,Match Report,,5.0,1.0,3.0,16.0,12.0,9.0,8.0,8.0,san marino
9,2023-11-20,20:45,UEFA Euro Qualifying,Group stage,Mon,Home,L,1.0,2.0,fi Finland,,,20.0,1427.0,Matteo Vitaioli,3-5-2,Manfredas Lukjančukas,Match Report,,4.0,1.0,5.0,17.0,11.0,5.0,14.0,8.0,san marino
10,2024-03-20,20:45,Friendlies (M),Friendlies (M),Wed,Home,L,1.0,3.0,kn St. Kitts & Nevis,,,,622.0,Alessandro Golinucci,3-4-3,Deborah Bianchi,Match Report,,,,1.0,,,,,,san marino
11,2024-03-24,20:45,Friendlies (M),Friendlies (M),Sun,Home,D,0.0,0.0,kn St. Kitts & Nevis,,,,473.0,Alessandro Golinucci,3-4-3,Désirée Grundbacher,Match Report,,,,3.0,,,,,,san marino
12,2024-06-05,18:00,Friendlies (M),Friendlies (M),Wed,Neutral,L,0.0,4.0,sk Slovakia,,,,452.0,Alessandro Golinucci,4-2-3-1,Julian Weinberger,Match Report,,,,2.0,,,,,,san marino
13,2024-06-11,18:00,Friendlies (M),Friendlies (M),Tue,Home,L,1.0,4.0,cy Cyprus,,,,358.0,Alessandro Golinucci,4-1-4-1,Ishmael Barbara,Match Report,,,,2.0,,,,,,san marino
14,2024-09-10,19:00,Friendlies (M),Friendlies (M),Tue,Away,,,,md Moldova,,,,,,,,Head-to-Head,,,,,,,,,,san marino
0,2023-03-25,20:45,UEFA Euro Qualifying,Group stage,Sat,Away,W,2.0,0.0,ad Andorra,,,71.0,2927.0,Nicolae Stanciu,4-1-4-1,Dario Bel,Match Report,,12.0,4.0,3.0,10.0,11.0,23.0,9.0,10.0,romania
1,2023-03-28,21:45,UEFA Euro Qualifying,Group stage,Tue,Home,W,2.0,1.0,by Belarus,,,52.0,27837.0,Nicolae Stanciu,4-3-3,Allard Lindhout,Match Report,,20.0,3.0,3.0,12.0,11.0,24.0,18.0,7.0,romania
2,2023-06-16,20:45,UEFA Euro Qualifying,Group stage,Fri,Away,D,0.0,0.0,xk Kosovo,,,40.0,11000.0,Nicolae Stanciu,4-3-3,Danny Makkelie,Match Report,,16.0,3.0,1.0,13.0,7.0,20.0,8.0,12.0,romania
3,2023-06-19,20:45,UEFA Euro Qualifying,Group stage,Mon,Away,D,2.0,2.0,ch Switzerland,,,28.0,14400.0,Nicolae Stanciu,3-4-3,Daniele Orsato,Match Report,,6.0,3.0,3.0,9.0,4.0,12.0,9.0,11.0,romania
4,2023-09-09,21:45,UEFA Euro Qualifying,Group stage,Sat,Home,D,1.0,1.0,il Israel,,,38.0,49193.0,Nicolae Stanciu,4-2-3-1,Slavko Vinčič,Match Report,,8.0,3.0,3.0,14.0,12.0,11.0,9.0,9.0,romania
5,2023-09-12,21:45,UEFA Euro Qualifying,Group stage,Tue,Home,W,2.0,0.0,xk Kosovo,,,72.0,29982.0,Nicolae Stanciu,4-1-4-1,Willy Delajod,Match Report,,21.0,8.0,3.0,9.0,14.0,23.0,4.0,8.0,romania
6,2023-10-12,21:45,UEFA Euro Qualifying,Group stage,Thu,Away,D,0.0,0.0,by Belarus,,,68.0,,Nicolae Stanciu,4-1-4-1,Espen Eskås,Match Report,,19.0,5.0,0.0,7.0,14.0,32.0,4.0,8.0,romania
7,2023-10-15,21:45,UEFA Euro Qualifying,Group stage,Sun,Home,W,4.0,0.0,ad Andorra,,,79.0,21723.0,Nicolae Stanciu,4-2-3-1,Kristo Tohver,Match Report,,17.0,9.0,1.0,8.0,12.0,17.0,9.0,6.0,romania
8,2023-11-18,21:45,UEFA Euro Qualifying,Group stage,Sat,Away,W,2.0,1.0,il Israel,,,35.0,2921.0,Nicolae Stanciu,4-2-3-1,François Letexier,Match Report,,18.0,8.0,2.0,11.0,9.0,8.0,18.0,12.0,romania
9,2023-11-21,21:45,UEFA Euro Qualifying,Group stage,Tue,Home,W,1.0,0.0,ch Switzerland,,,36.0,50224.0,Nicolae Stanciu,4-1-4-1,Davide Massa,Match Report,,9.0,4.0,4.0,13.0,11.0,6.0,6.0,5.0,romania
10,2024-03-22,21:45,Friendlies (M),Friendlies (M),Fri,Home,D,1.0,1.0,nir Northern Ireland,,,,30439.0,Nicolae Stanciu,4-1-4-1,Kristoffer Karlsson,Match Report,,,,3.0,,,,,,romania
11,2024-03-26,20:30,Friendlies (M),Friendlies (M),Tue,Neutral,L,2.0,3.0,co Colombia,,,,,Nicolae Stanciu,4-1-4-1,Alejandro Muñíz,Match Report,,,,2.0,,,,,,romania
12,2024-06-04,21:30,Friendlies (M),Friendlies (M),Tue,Home,D,0.0,0.0,bg Bulgaria,,,,19000.0,Nicolae Stanciu,4-1-4-1,Atilla Karaoğlan,Match Report,,,,1.0,,,,,,romania
13,2024-06-07,21:00,Friendlies (M),Friendlies (M),Fri,Home,D,0.0,0.0,li Liechtenstein,,,,25097.0,Ianis Hagi,4-1-4-1,Menelaos Antoniou,Match Report,,,,0.0,,,,,,romania
14,2024-06-17,15:00,UEFA Euro,Group stage,Mon,Home,W,3.0,0.0,ua Ukraine,1.1,0.7,30.0,61591.0,Nicolae Stanciu,4-1-4-1,Glenn Nyberg,Match Report,,9.0,5.0,1.0,9.0,8.0,11.0,6.0,3.0,romania
15,2024-06-22,21:00,UEFA Euro,Group stage,Sat,Away,,,,be Belgium,,,,,,,,Head-to-Head,,,,,,,,,,romania
16,2024-06-26,18:00,UEFA Euro,Group stage,Wed,Away,,,,sk Slovakia,,,,,,,,Head-to-Head,,,,,,,,,,romania
0,2023-03-25,18:00,UEFA Euro Qualifying,Group stage,Sat,Away,W,5.0,0.0,by Belarus,,,71.0,,Granit Xhaka,4-3-2-1,Alejandro Hernández,Match Report,,14.0,6.0,2.0,13.0,8.0,13.0,10.0,3.0,switzerland
1,2023-03-28,20:45,UEFA Euro Qualifying,Group stage,Tue,Home,W,3.0,0.0,il Israel,,,69.0,14819.0,Granit Xhaka,4-3-2-1,Nikola Dabanović,Match Report,,16.0,9.0,1.0,7.0,7.0,15.0,10.0,10.0,switzerland
2,2023-06-16,20:45,UEFA Euro Qualifying,Group stage,Fri,Away,W,2.0,1.0,ad Andorra,,,85.0,2490.0,Granit Xhaka,4-3-3,Balázs Berke,Match Report,,13.0,8.0,0.0,11.0,8.0,18.0,5.0,9.0,switzerland
3,2023-06-19,20:45,UEFA Euro Qualifying,Group stage,Mon,Home,D,2.0,2.0,ro Romania,,,73.0,14400.0,Granit Xhaka,4-3-3,Daniele Orsato,Match Report,,17.0,6.0,3.0,4.0,9.0,25.0,4.0,8.0,switzerland
4,2023-09-09,20:45,UEFA Euro Qualifying,Group stage,Sat,Away,D,2.0,2.0,xk Kosovo,,,66.0,12700.0,Granit Xhaka,4-3-3,Jakob Kehlet,Match Report,,13.0,4.0,0.0,8.0,9.0,17.0,8.0,9.0,switzerland
5,2023-09-12,20:45,UEFA Euro Qualifying,Group stage,Tue,Home,W,3.0,0.0,ad Andorra,,,84.0,9000.0,Granit Xhaka,3-4-1-2,Elçin Məsiyev,Match Report,,22.0,3.0,4.0,4.0,7.0,40.0,3.0,3.0,switzerland
6,2023-10-15,18:00,UEFA Euro Qualifying,Group stage,Sun,Home,D,3.0,3.0,by Belarus,,,78.0,17000.0,Granit Xhaka,4-2-3-1,João Pinheiro,Match Report,,24.0,7.0,1.0,10.0,14.0,41.0,6.0,5.0,switzerland
7,2023-11-15,21:45,UEFA Euro Qualifying,Group stage,Wed,Away,D,1.0,1.0,il Israel,,,50.0,2024.0,Granit Xhaka,4-3-3,Anthony Taylor,Match Report,,16.0,8.0,4.0,13.0,9.0,16.0,9.0,11.0,switzerland
8,2023-11-18,20:45,UEFA Euro Qualifying,Group stage,Sat,Home,D,1.0,1.0,xk Kosovo,,,77.0,33000.0,Granit Xhaka,4-3-3,António Nobre,Match Report,,17.0,5.0,2.0,10.0,3.0,41.0,6.0,8.0,switzerland
9,2023-11-21,21:45,UEFA Euro Qualifying,Group stage,Tue,Away,L,0.0,1.0,ro Romania,,,64.0,50224.0,Granit Xhaka,4-3-3,Davide Massa,Match Report,,11.0,4.0,2.0,11.0,12.0,23.0,5.0,9.0,switzerland
10,2024-03-23,20:00,Friendlies (M),Friendlies (M),Sat,Away,D,0.0,0.0,dk Denmark,,,,30731.0,Granit Xhaka,3-5-2,Allard Lindhout,Match Report,,,,3.0,,,,,,switzerland
11,2024-03-26,19:45,Friendlies (M),Friendlies (M),Tue,Away,W,1.0,0.0,ie Rep. of Ireland,,,,35742.0,Granit Xhaka,3-4-3,Paweł Raczkowski,Match Report,,,,2.0,,,,,,switzerland
12,2024-06-04,20:15,Friendlies (M),Friendlies (M),Tue,Home,W,4.0,0.0,ee Estonia,,,,14473.0,Granit Xhaka,3-4-3,Kyriakos Athanasiou,Match Report,,,,0.0,,,,,,switzerland
13,2024-06-08,18:00,Friendlies (M),Friendlies (M),Sat,Home,D,1.0,1.0,at Austria,,,,18731.0,Granit Xhaka,3-4-3,Maria Sole Ferrieri Caputi,Match Report,,,,2.0,,,,,,switzerland
14,2024-06-15,15:00,UEFA Euro,Group stage,Sat,Away,W,3.0,1.0,hu Hungary,2.3,1.3,51.0,41676.0,Granit Xhaka,3-4-3,Slavko Vinčič,Match Report,,15.0,7.0,3.0,13.0,9.0,10.0,6.0,9.0,switzerland
15,2024-06-19,21:00,UEFA Euro,Group stage,Wed,Away,D,1.0,1.0,sct Scotland,0.9,0.8,52.0,42711.0,Granit Xhaka,3-4-1-2,Ivan Kružliak,Match Report,,11.0,4.0,2.0,11.0,11.0,15.0,8.0,5.0,switzerland
16,2024-06-23,21:00,UEFA Euro,Group stage,Sun,Home,,,,de Germany,,,,,,,,Head-to-Head,,,,,,,,,,switzerland
0,2023-03-25,20:00,UEFA Euro Qualifying,Group stage,Sat,Home,D,1,1,xk Kosovo,,,54.0,28935.0,Eli Dasa,4-3-3,William Collum,Match Report,,18.0,3.0,4.0,10.0,10.0,16.0,17.0,9.0,israel
1,2023-03-28,20:45,UEFA Euro Qualifying,Group stage,Tue,Away,L,0,3,ch Switzerland,,,31.0,14819.0,Eli Dasa,4-4-2,Nikola Dabanović,Match Report,,4.0,1.0,2.0,8.0,6.0,12.0,14.0,10.0,israel
2,2023-06-16,21:45,UEFA Euro Qualifying,Group stage,Fri,Away,W,2,1,by Belarus,,,66.0,,Eli Dasa,4-3-3,Jarred Gillett,Match Report,,29.0,8.0,2.0,9.0,7.0,33.0,11.0,8.0,israel
3,2023-06-19,21:45,UEFA Euro Qualifying,Group stage,Mon,Home,W,2,1,ad Andorra,,,80.0,13300.0,Eli Dasa,4-3-3,Dragomir Draganov,Match Report,,9.0,6.0,2.0,7.0,16.0,15.0,2.0,12.0,israel
4,2023-09-09,21:45,UEFA Euro Qualifying,Group stage,Sat,Away,D,1,1,ro Romania,,,62.0,49193.0,Eli Dasa,4-3-3,Slavko Vinčič,Match Report,,16.0,5.0,1.0,13.0,13.0,12.0,6.0,12.0,israel
5,2023-09-12,21:45,UEFA Euro Qualifying,Group stage,Tue,Home,W,1,0,by Belarus,,,68.0,28435.0,Eli Dasa,4-3-3,Ricardo de Burgos,Match Report,,22.0,7.0,3.0,6.0,7.0,26.0,4.0,3.0,israel
6,2023-11-12,20:45,UEFA Euro Qualifying,Group stage,Sun,Away,L,0,1,xk Kosovo,,,66.0,5245.0,Eli Dasa,4-3-3,Ivan Kružliak,Match Report,,9.0,2.0,3.0,11.0,16.0,15.0,5.0,5.0,israel
7,2023-11-15,21:45,UEFA Euro Qualifying,Group stage,Wed,Home,D,1,1,ch Switzerland,,,50.0,2024.0,Eli Dasa,4-2-3-1,Anthony Taylor,Match Report,,10.0,2.0,3.0,9.0,12.0,18.0,8.0,11.0,israel
